1:1,3,6,8,4,5,2,9,1,8,6,9,4,9,5,4,2,9,1,3,4,8,7,8,7,3,7,7,5,1
2:8,7,7,9,9,3,9,3,5,6,3,8,4,5,9,9,5,4,1,2,6,8,7,2,8,6,7,4,3,9
3:3,1,5,1,9,7,4,5,1,5,5,4,4,5,4,5,2,1,8,1,6,5,3,4,3,1,8,8,5,2
4:1,2,5,6,4,3,7,9,5,2,7,4,9,6,2,1,7,9,4,7,8,5,4,9,7,1,7,3,8,3
5:1,3,7,9,5,3,3,9,4,2,4,6,9,6,8,2,8,6,9,5,3,1,9,5,6,2,8,2,4,5
6:9,1,2,1,5,2,7,5,7,5,7,5,3,5,7,1,9,5,6,4,6,3,9,7,8,3,9,3,6,7
7:3,1,5,1,9,7,4,5,3,5,5,4,4,5,4,5,2,1,8,1,6,5,3,4,3,1,8,8,5,2
8:8,9,9,8,7,3,7,4,8,8,8,2,2,5,8,9,3,3,7,6,5,4,3,5,6,1,8,1,5,5
9:2,7,3,2,7,5,2,3,9,8,4,6,5,8,8,9,1,3,9,8,2,6,9,2,4,9,6,4,8,8
10:2,7,3,2,7,5,2,3,9,8,4,6,5,8,8,9,1,3,9,8,2,2,9,2,4,9,6,4,8,8
11:5,9,7,8,9,9,9,3,4,7,4,9,7,2,4,2,7,3,7,6,6,7,6,5,5,7,2,3,9,3
12:9,8,9,1,7,2,3,6,3,2,7,6,3,8,7,2,2,1,8,3,3,8,9,9,3,8,1,6,2,5
13:5,9,6,5,3,9,5,2,9,3,8,6,3,9,7,2,8,6,2,4,1,6,3,8,9,8,3,7,7,6
14:5,9,3,6,5,5,8,9,6,1,2,3,9,9,2,4,6,6,1,2,8,8,7,6,6,5,3,3,6,8
15:8,2,3,7,9,7,5,3,6,8,7,3,7,6,5,5,8,2,6,4,3,6,3,9,6,9,8,1,5,1
16:6,3,6,1,4,2,1,9,6,4,3,1,7,1,2,1,3,5,7,1,1,6,1,1,3,9,8,7,3,5
17:9,5,8,8,5,2,2,8,1,3,5,6,1,8,4,6,9,2,8,4,3,8,2,9,1,8,4,5,6,2
18:6,4,1,3,2,4,4,4,4,5,9,4,9,5,2,4,4,2,3,1,1,5,9,5,6,7,9,1,7,1
19:2,7,6,7,2,6,8,9,7,7,9,8,3,2,2,8,5,5,6,1,7,9,1,9,4,1,7,4,9,9
20:2,2,4,2,4,1,5,1,3,3,2,5,9,4,3,2,6,7,9,6,3,9,3,3,3,6,6,5,9,3
21:3,3,9,1,4,6,9,3,2,2,7,7,2,9,1,6,6,8,7,6,2,4,1,6,1,3,3,8,6,7
22:5,7,7,2,4,2,1,7,5,7,3,2,4,4,7,7,1,2,2,5,2,7,1,9,4,7,7,9,3,5
23:8,3,6,1,4,2,1,9,6,4,3,1,7,1,2,1,3,5,7,1,1,6,1,1,3,9,8,7,3,8
